,Bulgaria,Sweden,CN: Liaoning  Province,CN: Heilongjiang  Province,CN: Shanxi Province,CN: Shaannxi  Province,CN: Hebei Province,CN: Beijing,CN: Jiangsu  Province,CN: Fujian  Province,CN: Shandong  Province,CN: Zhejiang  Province,CN: Shanghai,CN: Guangdong  Province,CN: Hunan  Province,CN: Hubei  Province,CN: Henan  Province,CN: Jiangxi  Province,CN: Anhui  Province,CN: Guizhou Province,CN: Guangxi  Province,Cyprus,Finland,Italy,Poland,Romania,Slovenia,Great Britain,France,Germany,IN: Assam,IN: Karnataka,IN: Punjab,IN: Kerala,IN: Orrisa,IN: Andhra Pradesh,IN: Bihar,IN: Gujarat,IN: Madhya Pradesh,IN: Maharashtra,IN: Rajasthan,IN: Tamil Nadu,IN: Uttar Pradesh,IN: West Bengal,Netherlands,Spain,US: West North Central,US: East South Central,US: South Atlantic,US: Middle Atlantic States,US: East North Central,US: New England,US: West South Central,US: Rocky Mountain state,US: California,Hungary,US: Pacific,Estonia,CN: Gansu
Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,0.199755064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Liaoning  Province,0.149188599,0.355725073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Heilongjiang  Province,0.168336182,0.381234816,0.025800822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Shanxi Province,0.186533827,0.359646359,0.032122547,0.023651475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Shaannxi  Province,0.233419105,0.420389421,0.041970809,0.036947011,0.027376112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Hebei Province,0.25028969,0.494839276,0.060040356,0.05627869,0.04364749,0.043085464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Beijing,0.18303672,0.352964452,0.047730119,0.042197806,0.030739011,0.043960788,0.073085896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Jiangsu  Province,0.201834786,0.435037521,0.056835031,0.049040934,0.045143063,0.053419726,0.060840813,0.064654968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN: Fujian  Province,0.189914536,0.466114841,0.053488477,0.042539746,0.057627601,0.070359501,0.104242102,0.068860977,0.05959438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
